_id,Study,Province,Location,Infrastructure,Infrastructure Component 1,Infrastructure Component 2,Climate Parameter,Climate Parameter General,Risk,Risk (Current),Risk (Short Term),Risk (Medium Term),Risk (Long Term)
75,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Plumbing Equipment,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
76,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Heating System,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
77,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Precipitation,Precipitation,High,NAN,High,High,High
78,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Channels,NAN,Precipitation,Precipitation,High,NAN,High,High,High
79,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
80,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Sewer,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
81,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Detention,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
82,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Treatment,NAN,Precipitation,Precipitation,Low,NAN,Low,Low,Low
83,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
84,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
85,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Flow Control,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
86,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Flow Control,NAN,Precipitation,Precipitation,Med,NAN,Med,Med,Med
87,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Outfall,NAN,Precipitation,Precipitation,Low,NAN,Low,Low,Low
88,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Precipitation,Precipitation,High,NAN,High,High,High
89,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Channels,NAN,Precipitation,Precipitation,High,NAN,High,High,High
